Time (s),VmRSS (KB),VmHWM (KB),VmSize (KB),VmSwap (KB),RssAnon (KB),RssFile (KB)
0,7368,9416,3227656,0,5272,11604
1,221980,225940,6585600,0,157668,74000
2,591176,595480,6898508,0,411280,191772
3,785456,788360,6898508,0,411280,388856
4,981712,982520,6898508,0,411280,585012
6,1177216,1177216,6898508,0,411280,782752
7,1369616,1375688,6898508,0,411280,972432
8,1558164,1560460,6898508,0,411280,1167884
9,1755916,1759300,6898508,0,411280,1364400
10,1966868,1966868,6898508,0,411280,1569256
11,2166112,2166112,6898508,0,411280,1768732
12,2361032,2363828,6898508,0,411280,1965208
14,2587020,2590196,6898508,0,411280,2196152
15,2780000,2786984,6898508,0,411280,2392424
16,2979044,2980284,6898508,0,411280,2583776
17,3165496,3165496,6898508,0,411280,2754216
18,3628888,3628888,6900060,0,413196,3215692
19,3628888,3628888,6900060,0,413196,3215692
20,3628888,3628888,6900060,0,413196,3215692
22,3628888,3628888,6900060,0,413196,3215692
23,3628888,3628888,6900060,0,413196,3215692
24,3628888,3628888,6900060,0,413196,3215692
25,3628888,3628888,6900060,0,413196,3215692
25,,3628888,,,,
