=== TENSOR ALLOCATION REPORT ===

Total tensors: 788
Total size: 3.4 GB
Shared memory groups: 72

=== SHARED MEMORY GROUPS ===

Address 0x59791e3d2a40:
  Tensor 285: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1846: 12.0 B (INT32, Arena RW)
  Tensor 359: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1884: 12.0 B (INT32, Arena RW)
  Tensor 414: 12.0 KB (FLOAT32, Arena RW)
  Tensor 436: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1922: 12.0 B (INT32, Arena RW)
  Tensor 468: 12.0 KB (FLOAT32, Arena RW)
  Tensor 490: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1960: 12.0 B (INT32, Arena RW)
  Tensor 522: 12.0 KB (FLOAT32, Arena RW)
  Tensor 544: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1998: 12.0 B (INT32, Arena RW)
  Tensor 575: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2036: 12.0 B (INT32, Arena RW)
  Tensor 629: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2074: 12.0 B (INT32, Arena RW)
  Tensor 684: 12.0 KB (FLOAT32, Arena RW)
  Tensor 706: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2112: 12.0 B (INT32, Arena RW)
  Tensor 737: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2150: 12.0 B (INT32, Arena RW)
  Tensor 791: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2188: 12.0 B (INT32, Arena RW)
  Tensor 846: 12.0 KB (FLOAT32, Arena RW)
  Tensor 868: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2226: 12.0 B (INT32, Arena RW)
  Tensor 900: 12.0 KB (FLOAT32, Arena RW)
  Tensor 922: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2264: 12.0 B (INT32, Arena RW)
  Tensor 954: 12.0 KB (FLOAT32, Arena RW)
  Tensor 976: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2302: 12.0 B (INT32, Arena RW)
  Tensor 1008: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1030: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2340: 12.0 B (INT32, Arena RW)
  Tensor 1061: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2378: 12.0 B (INT32, Arena RW)
  Tensor 1115: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2416: 12.0 B (INT32, Arena RW)
  Tensor 1169: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2454: 12.0 B (INT32, Arena RW)
  Tensor 1223: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2492: 12.0 B (INT32, Arena RW)
  Tensor 1278: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1300: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2530: 12.0 B (INT32, Arena RW)
  Tensor 1331: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2568: 12.0 B (INT32, Arena RW)
  Tensor 1385: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2606: 12.0 B (INT32, Arena RW)
  Tensor 1439: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2644: 12.0 B (INT32, Arena RW)
  Tensor 1494: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1516: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2682: 12.0 B (INT32, Arena RW)
  Tensor 1548: 12.0 KB (FLOAT32, Arena RW)
  Tensor 1570: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2720: 12.0 B (INT32, Arena RW)
  Tensor 1601: 12.0 KB (FLOAT32, Arena RW)
  Tensor 2758: 12.0 B (INT32, Arena RW)
