[INFO] Dropping OS Page Caches..
[INFO] Clearing CPU Caches
Once upon a time, there was
[INFO] Preparing Required Components

[INFO] Model Loading took 5 ms
NODES 1542 TENSORS 2904
EXECUTION PLAN LENGTH 1542
Total tensor memory size: 3701464294 bytes
Tensor Details:
ID	Size(B)	Alloc	Usage	Used by Nodes
----------------------------------------
0	4194304	2	1	1461
1	4194304	2	1	219
2	4194304	2	1	164
3	4194304	2	1	920
4	4194304	2	1	488
5	4	2	5	3,8,9,10,54
6	4194304	2	1	1407
7	4194304	2	1	1245
8	4194304	2	1	596
9	4194304	2	1	1352
10	4194304	2	1	974
11	4194304	2	1	381
12	4194304	2	1	1515
13	4194304	2	1	1244
14	4194304	2	1	272
15	4194304	2	1	1136
16	4194304	2	1	542
17	4194304	2	1	1299
18	4194304	2	1	218
19	4194304	2	1	57
20	4194304	2	1	704
21	4194304	2	1	1029
22	4194304	2	1	651
23	4194304	2	1	327
24	4194304	2	1	380
25	4194304	2	1	1028
26	4194304	2	1	1460
27	4194304	2	1	1083
28	4194304	2	1	434
29	4194304	2	1	597
30	4194304	2	1	921
31	4194304	2	1	705
32	4194304	2	1	1298
33	4194304	2	1	812
34	4194304	2	1	867
35	4194304	2	1	758
36	4194304	2	1	435
37	4194304	2	1	1191
38	4194304	2	1	111
39	4	2	1	0
40	4194304	2	1	975
41	4194304	2	1	759
42	4194304	2	1	56
43	4194304	2	1	1190
44	4194304	2	1	1353
45	4194304	2	1	866
46	4194304	2	1	543
47	4194304	2	1	165
48	4194304	2	1	110
49	4194304	2	1	489
50	4194304	2	1	1406
51	4194304	2	1	273
52	4194304	2	1	650
53	4194304	2	1	1082
54	4194304	2	1	326
55	4194304	2	1	1137
56	4194304	2	1	1514
57	4194304	2	1	813
58	25165824	1	1	1532
59	25165824	1	1	1530
60	25165824	1	1	1527
61	9437184	1	1	1518
62	15728640	1	1	1487
63	25165824	1	1	1478
64	25165824	1	1	1476
65	25165824	1	1	1473
66	9437184	1	1	1464
67	15728640	1	1	1433
68	25165824	1	1	1424
69	25165824	1	1	1422
70	25165824	1	1	1419
71	9437184	1	1	1410
72	15728640	1	1	1379
73	25165824	1	1	1370
74	25165824	1	1	1368
75	25165824	1	1	1365
76	9437184	1	1	1356
77	15728640	1	1	1325
78	25165824	1	1	1316
79	25165824	1	1	1314
80	25165824	1	1	1311
81	9437184	1	1	1302
82	15728640	1	1	1271
83	25165824	1	1	1262
84	25165824	1	1	1260
85	25165824	1	1	1257
86	9437184	1	1	1248
87	15728640	1	1	1217
88	25165824	1	1	1208
89	25165824	1	1	1206
90	25165824	1	1	1203
91	9437184	1	1	1194
92	15728640	1	1	1163
93	25165824	1	1	1154
94	25165824	1	1	1152
95	25165824	1	1	1149
96	9437184	1	1	1140
97	15728640	1	1	1109
98	25165824	1	1	1100
99	25165824	1	1	1098
100	25165824	1	1	1095
101	9437184	1	1	1086
102	15728640	1	1	1055
103	25165824	1	1	1046
104	25165824	1	1	1044
105	25165824	1	1	1041
106	9437184	1	1	1032
107	15728640	1	1	1001
108	25165824	1	1	992
109	25165824	1	1	990
110	25165824	1	1	987
111	9437184	1	1	978
112	15728640	1	1	947
113	25165824	1	1	938
114	25165824	1	1	936
115	25165824	1	1	933
116	9437184	1	1	924
117	15728640	1	1	893
118	25165824	1	1	884
119	25165824	1	1	882
120	25165824	1	1	879
121	9437184	1	1	870
122	15728640	1	1	839
123	25165824	1	1	830
124	25165824	1	1	828
125	25165824	1	1	825
126	9437184	1	1	816
127	15728640	1	1	785
128	25165824	1	1	776
129	25165824	1	1	774
130	25165824	1	1	771
131	9437184	1	1	762
132	15728640	1	1	731
133	25165824	1	1	722
134	25165824	1	1	720
135	25165824	1	1	717
136	9437184	1	1	708
137	15728640	1	1	677
138	25165824	1	1	668
139	25165824	1	1	666
140	25165824	1	1	663
141	9437184	1	1	654
142	15728640	1	1	623
143	25165824	1	1	614
144	25165824	1	1	612
145	25165824	1	1	609
146	9437184	1	1	600
147	15728640	1	1	569
148	25165824	1	1	560
149	25165824	1	1	558
150	25165824	1	1	555
151	9437184	1	1	546
152	15728640	1	1	515
153	25165824	1	1	506
154	25165824	1	1	504
155	25165824	1	1	501
156	9437184	1	1	492
157	15728640	1	1	461
158	25165824	1	1	452
159	25165824	1	1	450
160	25165824	1	1	447
161	9437184	1	1	438
162	15728640	1	1	407
163	25165824	1	1	398
164	25165824	1	1	396
165	25165824	1	1	393
166	9437184	1	1	384
167	15728640	1	1	353
168	25165824	1	1	344
169	25165824	1	1	342
170	25165824	1	1	339
171	9437184	1	1	330
172	15728640	1	1	299
173	25165824	1	1	290
174	25165824	1	1	288
175	25165824	1	1	285
176	9437184	1	1	276
177	15728640	1	1	245
178	25165824	1	1	236
179	25165824	1	1	234
180	25165824	1	1	231
181	9437184	1	1	222
182	15728640	1	1	191
183	25165824	1	1	182
184	25165824	1	1	180
185	25165824	1	1	177
186	9437184	1	1	168
187	15728640	1	1	137
188	25165824	1	1	128
189	25165824	1	1	126
190	25165824	1	1	123
191	9437184	1	1	114
192	15728640	1	1	83
193	25165824	1	1	74
194	25165824	1	1	72
195	25165824	1	1	69
196	9437184	1	1	60
197	15728640	1	1	27
198	16	1	56	44,45,100,101,154,155,208,209,262,263,316,317,370,371,424,425,478,479,532,533,586,587,640,641,694,695,748,749,802,803,856,857,910,911,964,965,1018,1019,1072,1073,1126,1127,1180,1181,1234,1235,1288,1289,1342,1343,1396,1397,1450,1451,1504,1505
199	16	1	56	34,45,90,101,144,155,198,209,252,263,306,317,360,371,414,425,468,479,522,533,576,587,630,641,684,695,738,749,792,803,846,857,900,911,954,965,1008,1019,1062,1073,1116,1127,1170,1181,1224,1235,1278,1289,1332,1343,1386,1397,1440,1451,1494,1505
200	16	1	56	33,34,89,90,143,144,197,198,251,252,305,306,359,360,413,414,467,468,521,522,575,576,629,630,683,684,737,738,791,792,845,846,899,900,953,954,1007,1008,1061,1062,1115,1116,1169,1170,1223,1224,1277,1278,1331,1332,1385,1386,1439,1440,1493,1494
201	16	1	28	31,87,141,195,249,303,357,411,465,519,573,627,681,735,789,843,897,951,1005,1059,1113,1167,1221,1275,1329,1383,1437,1491
202	16	1	28	30,86,140,194,248,302,356,410,464,518,572,626,680,734,788,842,896,950,1004,1058,1112,1166,1220,1274,1328,1382,1436,1490
203	16	1	28	29,85,139,193,247,301,355,409,463,517,571,625,679,733,787,841,895,949,1003,1057,1111,1165,1219,1273,1327,1381,1435,1489
204	16	1	84	29,33,44,85,89,100,139,143,154,193,197,208,247,251,262,301,305,316,355,359,370,409,413,424,463,467,478,517,521,532,571,575,586,625,629,640,679,683,694,733,737,748,787,791,802,841,845,856,895,899,910,949,953,964,1003,1007,1018,1057,1061,1072,1111,1115,1126,1165,1169,1180,1219,1223,1234,1273,1277,1288,1327,1331,1342,1381,1385,1396,1435,1439,1450,1489,1493,1504
205	4	1	57	22,64,78,118,132,172,186,226,240,280,294,334,348,388,402,442,456,496,510,550,564,604,618,658,672,712,726,766,780,820,834,874,888,928,942,982,996,1036,1050,1090,1104,1144,1158,1198,1212,1252,1266,1306,1320,1360,1374,1414,1428,1468,1482,1522,1536
206	4	1	57	21,63,77,117,131,171,185,225,239,279,293,333,347,387,401,441,455,495,509,549,563,603,617,657,671,711,725,765,779,819,833,873,887,927,941,981,995,1035,1049,1089,1103,1143,1157,1197,1211,1251,1265,1305,1319,1359,1373,1413,1427,1467,1481,1521,1535
207	12288	1	1	1540
208	12288	1	1	1526
209	12288	1	1	1486
210	12288	1	1	1472
211	12288	1	1	1432
212	12288	1	1	1418
213	12288	1	1	1378
214	12288	1	1	1364
215	12288	1	1	1324
216	12288	1	1	1310
217	12288	1	1	1270
218	12288	1	1	1256
219	12288	1	1	1216
220	12288	1	1	1202
221	12288	1	1	1162
222	12288	1	1	1148
223	12288	1	1	1108
224	12288	1	1	1094
225	12288	1	1	1054
226	12288	1	1	1040
227	12288	1	1	1000
228	12288	1	1	986
229	12288	1	1	946
230	12288	1	1	932
231	12288	1	1	892
232	12288	1	1	878
233	12288	1	1	838
234	12288	1	1	824
235	12288	1	1	784
236	12288	1	1	770
237	12288	1	1	730
238	12288	1	1	716
239	12288	1	1	676
240	12288	1	1	662
241	12288	1	1	622
242	12288	1	1	608
243	12288	1	1	568
244	12288	1	1	554
245	12288	1	1	514
246	12288	1	1	500
247	12288	1	1	460
248	12288	1	1	446
249	12288	1	1	406
250	12288	1	1	392
251	12288	1	1	352
252	12288	1	1	338
253	12288	1	1	298
254	12288	1	1	284
255	12288	1	1	244
256	12288	1	1	230
257	12288	1	1	190
258	12288	1	1	176
259	12288	1	1	136
260	12288	1	1	122
261	12288	1	1	82
262	12288	1	1	68
263	12288	1	1	26
264	4194304	1	1	17
265	0	1	1	54
