# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 201K of event 'major-faults'
# Event count (approx.): 208784
#
# Overhead  Command          Shared Object           Symbol                
# ........  ...............  ......................  ......................
#
    85.36%  text_generator_  text_generator_main     [.] 0x0000000000331240
     1.83%  text_generator_  text_generator_main     [.] 0x0000000000331270
     1.64%  text_generator_  text_generator_main     [.] 0x0000000000331298
     1.46%  text_generator_  text_generator_main     [.] 0x0000000000367cdc
     1.44%  text_generator_  text_generator_main     [.] 0x0000000000367d6c
     1.43%  text_generator_  text_generator_main     [.] 0x0000000000367d24
     1.42%  text_generator_  text_generator_main     [.] 0x0000000000367c9c
     0.99%  text_generator_  text_generator_main     [.] 0x000000000036887c
     0.97%  text_generator_  text_generator_main     [.] 0x000000000036896c
     0.91%  text_generator_  text_generator_main     [.] 0x0000000000368804
     0.88%  text_generator_  text_generator_main     [.] 0x00000000003688f4
     0.67%  text_generator_  text_generator_main     [.] 0x000000000033d3b8
     0.48%  text_generator_  text_generator_main     [.] 0x000000000033d458
     0.08%  text_generator_  libc-2.31.so            [.] 0x0000000000076a54
     0.08%  text_generator_  text_generator_main     [.] 0x000000000038f320
     0.07%  text_generator_  text_generator_main     [.] 0x00000000003a0c18
     0.07%  text_generator_  libc-2.31.so            [.] 0x0000000000076abc
     0.07%  text_generator_  text_generator_main     [.] 0x000000000020cc48
     0.05%  text_generator_  libc-2.31.so            [.] 0x0000000000084f28
     0.01%  text_generator_  text_generator_main     [.] 0x0000000000368c18
     0.01%  text_generator_  text_generator_main     [.] 0x0000000000367e74
     0.01%  text_generator_  text_generator_main     [.] 0x00000000003689ec
     0.01%  text_generator_  libc-2.31.so            [.] 0x0000000000079a3c
     0.01%  text_generator_  text_generator_main     [.] 0x0000000000367ddc
     0.01%  text_generator_  text_generator_main     [.] 0x0000000000367c4c
     0.01%  text_generator_  text_generator_main     [.] 0x0000000000368a64
     0.01%  text_generator_  text_generator_main     [.] 0x0000000000368b90
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000368ad4
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000368748
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000391674
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000331210
     0.00%  text_generator_  text_generator_main     [.] 0x000000000036879c
     0.00%  text_generator_  text_generator_main     [.] 0x000000000038dc0c
     0.00%  text_generator_  text_generator_main     [.] 0x000000000002ecd4
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000331300
     0.00%  text_generator_  ld-2.31.so              [.] 0x00000000000093c0
     0.00%  text_generator_  libGLdispatch.so.0.0.0  [.] 0x0000000000040228
     0.00%  text_generator_  libm-2.31.so            [.] 0x000000000000bb88
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000080a1c
     0.00%  text_generator_  ld-2.31.so              [.] 0x0000000000009e58
     0.00%  text_generator_  ld-2.31.so              [.] 0x000000000000de30
     0.00%  text_generator_  ld-2.31.so              [.] 0x000000000000de3c
     0.00%  text_generator_  libc-2.31.so            [.] 0x0000000000075bfc
     0.00%  text_generator_  libc-2.31.so            [.] 0x0000000000076970
     0.00%  text_generator_  libc-2.31.so            [.] 0x000000000007953c
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000036020
     0.00%  text_generator_  text_generator_main     [.] 0x00000000000819bc
     0.00%  text_generator_  text_generator_main     [.] 0x000000000008c530
     0.00%  text_generator_  text_generator_main     [.] 0x00000000000985b0
     0.00%  text_generator_  text_generator_main     [.] 0x00000000000986a8
     0.00%  text_generator_  text_generator_main     [.] 0x00000000001f3d10
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000294000
     0.00%  text_generator_  text_generator_main     [.] 0x00000000002d13a0
     0.00%  text_generator_  text_generator_main     [.] 0x0000000000312310
     0.00%  text_generator_  text_generator_main     [.] 0x000000000037ae20
     0.00%  text_generator_  text_generator_main     [.] 0x00000000003a0cb8


# Samples: 1M of event 'block:block_rq_insert'
# Event count (approx.): 1197767
#
# Overhead  Command          Shared Object      Symbol                
# ........  ...............  .................  ......................
#
   100.00%  text_generator_  [kernel.kallsyms]  [k] 0xffffffec1d6365b0


# Samples: 1M of event 'block:block_rq_issue'
# Event count (approx.): 1159696
#
# Overhead  Command          Shared Object      Symbol                
# ........  ...............  .................  ......................
#
   100.00%  text_generator_  [kernel.kallsyms]  [k] 0xffffffec1d62fbe8


#
# (Cannot load tips.txt file, please install perf!)
#
